condition,reconstruction_error,centroid,bandwidth,dominant_freq
normal,0.040433984,1828.5457168003438,1759.816378111523,1654.4
normal,0.040506836,1766.7471953871081,1771.7617263880884,1984.9
normal,0.040353272,1793.448936592832,1799.5158391941939,1321.3000000000002
normal,0.04070641,1887.6837503523418,1812.6341845372442,1650.9
normal,0.040140994,1809.7331356869745,1784.4411222094495,1659.5
normal,0.04029601,1733.9234150789143,1765.9618814264472,1986.3000000000002
normal,0.03992028,1753.2179223165858,1765.4987714117226,1190.6000000000001
normal,0.03988621,1804.1199552199569,1786.9919644613392,1192.3
normal,0.04007995,1840.4192406019831,1758.7308901278648,1982.8000000000002
normal,0.04116536,1891.1368652931515,1765.3631435350794,1328.4
normal,0.03963842,1841.9394743456141,1800.639756671362,1648.9
normal,0.040117048,1772.52254971116,1776.46444387457,1191.0
normal,0.040130053,1769.9440654144523,1766.4495252319716,1653.7
normal,0.039887033,1759.0261663669212,1767.0209310438802,1649.8000000000002
normal,0.040452685,1770.675122977172,1780.2509253124872,1188.7
normal,0.040096007,1780.5679592788654,1761.1025829631012,1653.8000000000002
normal,0.040204905,1736.1149847374288,1756.9324649550294,1656.9
normal,0.040618718,1822.986208659166,1769.9182387492806,1656.7
normal,0.039838254,2047.0273775827075,1953.933501140077,1649.5
normal,0.040409096,1825.157745149234,1783.6851232291344,1984.8000000000002
normal,0.039716583,1775.436855921209,1769.195571988965,1654.5
normal,0.039696902,1770.870655045001,1769.917251952894,1217.6000000000001
normal,0.040478215,1771.3284326292026,1769.3617047721207,1216.7
normal,0.040822096,1789.2974189385268,1793.1368525989797,1656.1000000000001
normal,0.040964283,1823.6361291746412,1779.7242950536795,1012.4000000000001
normal,0.041187406,1796.2416239747247,1766.086047242237,1659.5
normal,0.040535413,1842.1759509638393,1812.3566635473996,1650.9
normal,0.04016017,1839.0819723632062,1788.4677984922077,1655.8000000000002
normal,0.040332545,2084.6883870173897,1934.2916560849958,1983.2
normal,0.04128208,1909.58557639531,1768.0334536974124,1653.1000000000001
normal,0.041192207,1814.595814538885,1767.5506670361774,1126.3
normal,0.04103175,2002.1705025203798,1825.3118613446466,1657.0
normal,0.040383995,1777.6353355118601,1765.3758521972939,1190.8
normal,0.041029774,1834.1029588161562,1777.4659316391637,1126.0
normal,0.040423058,1779.6624714709073,1762.3149210446538,1191.6000000000001
normal,0.040566187,1748.137012342585,1753.815976324149,1655.5
normal,0.040616587,1763.8899826092024,1756.7056230812768,1294.5
normal,0.04006391,1754.5415874949122,1765.2861242842328,1191.8
normal,0.040577356,1832.1169664655336,1781.4621764097426,1653.1000000000001
normal,0.04110245,1913.2026805236926,1790.885106438541,1652.7
normal,0.040895738,1814.2132166475328,1771.911935259048,1081.9
normal,0.040140305,1788.485987507428,1782.272262551127,1190.1000000000001
normal,0.039947964,1737.165852364468,1755.3734127369198,1651.9
normal,0.040376157,1858.1527715065965,1758.8117228851459,1653.0
